filename;max_distance;kernal_size;segments;seg_range;seg_algo
00000001;7.2265625;4;50;[0, 50];quickshift
00000001;3.4423828125;4;100;[50, 100];quickshift
00000001;3.02734375;4;150;[100, 150];quickshift
00000001;2.8774261474609375;4;200;[150, 200];quickshift
00000002;13.28125;4;50;[0, 50];quickshift
00000002;6.005859375;4;100;[50, 100];quickshift
00000002;4.78515625;4;150;[100, 150];quickshift
00000002;4.278564453125;4;200;[150, 200];quickshift
00000003;9.2041015625;4;50;[0, 50];quickshift
00000003;5.000877380371094;4;100;[50, 100];quickshift
00000003;4.006195068359375;4;150;[100, 150];quickshift
00000003;3.62548828125;4;200;[150, 200];quickshift
00000004;11.1328125;4;50;[0, 50];quickshift
00000004;5.76171875;4;100;[50, 100];quickshift
00000004;4.736328125;4;150;[100, 150];quickshift
00000004;4.1290283203125;4;200;[150, 200];quickshift
00000005;11.328125;4;50;[0, 50];quickshift
00000005;5.126953125;4;100;[50, 100];quickshift
00000005;4.24957275390625;4;150;[100, 150];quickshift
00000005;4.0065765380859375;4;200;[150, 200];quickshift
00000006;13.671875;4;50;[0, 50];quickshift
00000006;7.3486328125;4;100;[50, 100];quickshift
00000006;5.67626953125;4;150;[100, 150];quickshift
00000006;5.101680755615234;4;200;[150, 200];quickshift
00000007;13.8916015625;4;50;[0, 50];quickshift
00000007;9.033203125;4;100;[50, 100];quickshift
00000007;7.098388671875;4;150;[100, 150];quickshift
00000007;5.7647705078125;4;200;[150, 200];quickshift
00000008;14.0625;4;50;[0, 50];quickshift
00000008;8.0078125;4;100;[50, 100];quickshift
00000008;5.5908203125;4;150;[100, 150];quickshift
00000008;5.0205230712890625;4;200;[150, 200];quickshift
00000009;12.04833984375;4;50;[0, 50];quickshift
00000009;6.005859375;4;100;[50, 100];quickshift
00000009;4.1259765625;4;150;[100, 150];quickshift
00000009;3.6376953125;4;200;[150, 200];quickshift
00000010;13.28125;4;50;[0, 50];quickshift
00000010;7.2265625;4;100;[50, 100];quickshift
00000010;5.6396484375;4;150;[100, 150];quickshift
00000010;5.03082275390625;4;200;[150, 200];quickshift
00000011;14.0625;4;50;[0, 50];quickshift
00000011;6.54296875;4;100;[50, 100];quickshift
00000011;5.145263671875;4;150;[100, 150];quickshift
00000011;4.3243408203125;4;200;[150, 200];quickshift
00000012;13.0859375;4;50;[0, 50];quickshift
00000012;8.203125;4;100;[50, 100];quickshift
00000012;5.8837890625;4;150;[100, 150];quickshift
00000012;5.133056640625;4;200;[150, 200];quickshift
00000013;13.28125;4;50;[0, 50];quickshift
00000013;7.2265625;4;100;[50, 100];quickshift
00000013;5.17578125;4;150;[100, 150];quickshift
00000013;4.5658111572265625;4;200;[150, 200];quickshift
00000014;11.71875;4;50;[0, 50];quickshift
00000014;6.0882568359375;4;100;[50, 100];quickshift
00000014;5.10101318359375;4;150;[100, 150];quickshift
00000014;4.47998046875;4;200;[150, 200];quickshift
00000015;13.038444519042969;4;49;[0, 50];quickshift
00000015;6.8359375;4;100;[50, 100];quickshift
00000015;5.3924560546875;4;150;[100, 150];quickshift
00000015;5.000019073486328;4;192;[150, 200];quickshift
00000016;12.890625;4;50;[0, 50];quickshift
00000016;7.03125;4;100;[50, 100];quickshift
00000016;5.1361083984375;4;150;[100, 150];quickshift
00000016;4.590606689453125;4;200;[150, 200];quickshift
00000017;11.03515625;4;50;[0, 50];quickshift
00000017;5.029296875;4;100;[50, 100];quickshift
00000017;4.19921875;4;150;[100, 150];quickshift
00000017;4.006195068359375;4;200;[150, 200];quickshift
00000018;17.6025390625;4;50;[0, 50];quickshift
